서비스ID,서비스명,서비스분야,서비스목적요약,지원내용,선정기준,소관기관명,소관기관유형,부서명,사용자구분,신청기한,신청방법,접수기관,전화문의,상세조회URL,조회수,_매칭키워드
140000000185,귀산촌인 창업 및 주택 구입 지원,농림축산어업,"귀산촌인에게 창업자금, 주택구입비용, 목조주택신축비용 등을 위한 융자 지원","○ 임산물 생산․유통 등 기반 조성 분야 창업 : 금리 2.0%, 융자기간 15년(거치5, 상환10), 융자한도 300백만원
 - 임산물 생산·재배·이용·가공·유통·보관 등에 소요되는 자금
  ㆍ 임야 매입·임차
  ㆍ 재료 구입
  ㆍ 시설의 설치 및 기계·장비 구입·임차
  ㆍ 생산 체험장 설치
  ㆍ 기타 임업 기반시설의 설치 등 일체 소요비용

○ 주택구입‧개량 : 금리 2.0%, 융자기간 15년(거치5, 상환10), 융자한도 75백만원
 - 주택구입‧신축(대지 구입 포함) 및 노후 임가 주택의 증‧개축‧재축‧리모델링

○ 국산목조주택 신축 : 금리 2.0%, 융자기간 15년(거치5, 상환10), 융자한도 100백만원
 - 전체 목재사용량의 30%이상을 국산목재를 이용하여 건축 연면적 150㎡이하의 목조주택 신축

○ 중복수혜불가 조건
 - 다음의 경우 귀산촌인 창업 및 주택구입 지원사업과 중복지원 불가
  * 귀농농업창업 및 주택구입  지원사업으로 3억원을 지원받은 자
  * 귀어귀촌창업 및 주택구입 지원사업으로 3억원을 지원받은 자

 - 단, 지원받은 금액이 3억원 미만인 경우 지원받은 사업을 모두 합하여 3억원까지 지원 가능","○ 지원자격 및 요건
 - 이주기한, 거주기간, 교육이수 실적을 모두 충족하여야 함
 - (이주기한) 신청일 기준 산촌지역 전입일로부터 만 5년이 경과하지 않은 자로서 사업 신청일 전에 세대주(단독세대 가능)가 가족과 함께 산촌으로 이주하여 실제 거주하면서 임업에 종사하고 있거나 하고자 하는 자
  ㆍ 산촌지역으로 이주하여 주택자금 대출 예정인 임업인, 일반인, 개인사업자 또는 퇴직예정자의 경우 대출금 수령 후 2개월 이내 거주지를 이전하여야 함
     * 창업자금은 이주할 예정인 자는 지원 제외
     * 대출 이후 2개월 이내에 퇴직 또는 사업자 등록 이전·말소사실을 산림조합에 제출(농업경영체 등록증은 1년 이내)하여야 하며, 기한 내 미제출 시 대출금 회수 및 추가 지원 제한(단, 국산목조주택신축의 경우 임업종사 제외)
 - (거주기간) 산촌지역으로 이주하기 전 최소 1년 이상 산촌 외의 지역에서 거주한 자
  ㆍ 다만, 사업대상자가 가족관계등록부상 동일 가족 내에서 독립세대를 구성해 산촌으로 이주한 경우, 사업대상자가 산촌 외의 지역에서 1년 이상 거주
  ㆍ 독립세대주가 산촌으로 이주하여 세대구성원이 된 경우, 사업대상자인 구성원이 산촌 외 지역에서 1년 이상 거주
 - (교육이수 실적) 산림청, 농림축산식품부(농정원 포함), 농촌진흥청 및 지자체가 주관 또는 위탁(승인‧공모‧협업‧위탁)한 교육기관이 운영하는 교육(농업‧임업‧귀산촌‧귀농귀촌 교육 등)을 40시간 이상 이수한 자(’21년 부터는 60시간 이상 이수한 자)
  ㆍ 상기 기관에서 실시하는 사이버 교육 이수시간의 50%를 최대 20시간까지 인정(산림교육원, 농업교육포털 교육수료증 제출이 가능한 사이버 교육에 한 함)
  ㆍ 단, 임업인, 임업후계자 등 전문임업인, 임업계열 학교* 졸업자, 임업관련 분야 국가자격증을 소지한 자는 산림분야 교육을 이수한 것으로 인정

 - 지원제외 대상
  ㆍ ｢농림축산식품분야 재정사업관리 기본규정｣제78조(농식품사업자금 부정수급 등), 제79조(지원제한) 및 제80조(농식품사업자금의 환수 및 지원제한 행정처분)의 규정에 저촉된 사항이 확인되거나 처분 조치가 완료되지 아니한 자
  ㆍ 임업분야 창업을 하고자 하는 자 중 사업자 선정이후 자금을 지원받았으나, 일정기간 내 퇴직이나 사업자 등록 이전·말소를 하지 않거나 사업을 실행하지 않은 자(’19년 선정된 자에 한해 적용, ’21년부터 삭제)
  ㆍ 농업 외 타산업 분야에 전업적(專業的) 직업을 가진 자 및 사업자등록증 소지자
  ㆍ 병역미필자, 고등학교 등에 재학 중인 자
  ㆍ 금융기관에 연체 중인 자 또는 파산 등으로 법적인 면책을 받아 회생 중인 자
  ㆍ 한국신용정보원의 ｢신용정보관리규약｣에 따라 연체, 대위변제‧대지급, 부도, 관련인, 금융질서문란 등의 정보가 등록되어 있는 자
  ㆍ 사업신청은 본인이 직접 하여야 하며(대리 신청 불가), 사업계획에 대한 충분한 설명을 하지 못할 경우 심사과정에서 제외
  ㆍ 농림축산식품부, 해양수산부 등 타부처 정책자금을 지원받은 경우 대출한도에서 지원금액을 차감
  ㆍ 귀산촌인 창업 및 주택구입지원 사업대상자로 선정된 적이 있거나 자금을 지원받은 자 중 자진 포기한 후 2년이 경과되지 않은 자
  ㆍ 직업군인, 북한이탈주민, 조선업고용조정자(2015.1.1.이후 퇴직자(예정자))는 근무지(거주지)가 산촌지역인 경우 거주기간을 제한하지 않음(제대 만 5년까지 인정)",산림청,중앙행정기관,사유림경영소득과,개인,상시신청,방문신청,산림조합중앙회 임업인콜센터,산림조합중앙회 임업인콜센터/1544-4200,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/140000000185,8696,"귀농,귀촌,농업,농촌"
148000000045,공동집하장 확충 지원,문화·환경,지자체를 대상으로 영농폐기물을 수거·보관할 수 있는 공동집하장 확충 지원,"○ 공동집하장 확충 지원
 - 공동집하장 설치비의 30% 국고보조","○ 사업내용의 합목적성, 실현가능성, 지역사회 협력, 지자체장의 의지, 기대효과 등을 고려하여 지원대상 지자체를 선정",기후에너지환경부,중앙행정기관,생활폐기물과,법인/시설/단체,해당연도 사업은 전년도 3월까지 신청,직접입력,환경부,기후에너지환경부 생활폐기물과/044-201-7428,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/148000000045,1740,영농
148000000046,농촌 폐비닐 수거보상금 지급,문화·환경,농촌 폐비닐을 수거한 농민에게 kg당 20원씩 국고보조,"○ 농촌 폐비닐 수거보상금 지원
 - 수거된 폐비닐 ㎏당 20원 국고보조","○ 사업내용의 합목적성, 실현가능성, 지역사회 협력, 지자체장의 의지, 기대효과 등을 고려하여 지원대상 지자체를 선정",기후에너지환경부,중앙행정기관,생활폐기물과,개인,해당연도 사업은 전년도 3월까지 신청,직접입력,환경부,기후에너지환경부 생활폐기물과/044-201-7428,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/148000000046,3300,"농촌,농민"
149200000153,고용보험 미적용자 출산급여,임신·출산,고용보험 미적용으로 출산전후휴가급여를 받지 못하는 출산여성에게 출산급여 지원,"○ 출산급여
 - 출산급여 총 150만원 일괄 지급(월 50만원 x 3월분)
 - 유산, 사산의 경우는 임신 기간에 따라 급여 수준 상이
 - 임신 기간 15주까지 : 30만원 / 16~21주 : 50만원 / 22~27주 : 100만원 / 28주 이상 : 150만원","·소득활동을 하지만 고용보험의 출산휴가급여를 지원받지 못하는 출산여성*

* 자영업자(1인 사업자), 특수형태근로종사자·자유 계약자(프리랜서), 근로자 중 고용보험의 출산전후휴가 급여 수급(180일)요건 미충족자, 고용보험법 적용제외사업의 근로자, 고용보험법 적용제외자

<근로자>

1유형 고용보험 피보험자이나 180일 요건 미충족으로 고용보험의 ‘출산휴가급여를 지원받지 못하는 자(출산일 전일까지 30일 이상 피보험자격을 유지하고 있어야함)

2유형 고용보험법 적용제외 사업의 근로자이거나 고용보험법 적용 제외자

※ 고용보험법 적용 제외 사업이란? (법 제8조 및 영제2조)

- 총공사금액 2천만원 미만 공사

- 연면적 100㎡ 이하 건축물의 건축 또는 200㎡ 이하 건축물의 대수선 공사

- ‘가구내 고용활동’과 ‘달리 분류되지 않은 자가소비 생산활동’은 출산급여 대상에서 제외

※ 고용보험법 적용 제외자란? (법 제10조 및 영 제3조)

- 소정근로시간이 월 60시간 미만인 근로자(주 15시간 미만 포함).
단, 3개월 이상 계속 근로자 및 일용근로자는 고용보험법 적용

   * 공무원, 사립학교교직원, 외국인근로자, 별정우체국 직원은 출산급여 대상에서 제외

- 농업, 임업 및 어업 중 법인이 아닌 자가 상시 4명 이하의 근로자를 사용하는 사업에 종사하는 근로자

<1인 사업자>

3유형 출산일 현재 피고용이 없는 단독·공동 사업자

  * 다만, 예외적으로 임신 진단 이후 피고용인(1인까지만 인정)을 채용한 경우 지원 가능
** 공동사업자인 경우 명의, 실질 모두 공동사업자인 경우에 한함

<기타 소득활동하는 자>

4유형 근로자 또는 1인사업자가 아닌 특수형태근로자, 프리랜서 등",고용노동부,중앙행정기관,고용문화개선정책과,개인,출산일로부터 1년 이내(기간내 미신청시 소멸),기타 온라인신청||방문신청,고용센터,고용노동부 고객상담센터/1350,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/149200000153,44514,농업
154300000002,식품 기능성 평가지원,농림축산어업,"사업대상자 : 생산자단체, 식품기업, 농업인, 농업법인","○ 준비단계지원 : 86백만 원 = 4개 내외 품목 × 40~60백만원 × 50~60% / 자부담 40~50%
○ 인체적용전시험 : 540백만 원 = 9개 품목 × 120백만원 × 50~60% / 자부담 40~50%
○ 인체적용시험 1년차 : 540백만 원 = 9개 품목 × 120백만원 × 50~60% / 자부담 40~50%
○ 인체적용시험 2년차 : 552백만 원 = 10개 품목 × 120백만원 × 50~60% / 자부담 40~50%
○ 원료 등록지원 : 70백만 원 = 4개 내외 품목 × 30~40백만원(차등지원) ×  50~60% / 자부담 40~50%","○국내 농산물 유래 기능성 식품 소재로 지원받아 연구하고자 하는 품목의 유형, 해당기능, 제품형태 등 동 사업목적에 부합하는 근거자료(관련 기능성, 안전성 및 표준화자료 등)가 구비되어 있는 사업자
 * 우선지원대상 : 착수 1~2년내 기능성 연구성과 도출 가능성이 높은 품목, 국내외 기존 연구자료가 잘 축적된 품목, 농업 부가가치화 등 파급효과가 큰 품목",농림축산식품부,중앙행정기관,그린바이오산업팀,법인/시설/단체,매년 1~2월에 사업공고 후 선정 ,기타 온라인신청||방문신청,식품기능성평가지원사업단,한국식품연구원/063-219-9341,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/154300000002,1556,농업
154300000004,식품외식종합자금,고용·창업,"식품제조, 가공업체 및 외식업체 등에게 시설자금과 운영자금 지원","○ 지원내용
 - 시설자금 : 저장ㆍ가공ㆍ부대시설의 건축ㆍ확보ㆍ증설ㆍ개보수 및 물류장비 등 구입비(단, 부지매입비 제외)
 - 운영자금 : 국내산 농산물 원료 및 식재료 구입, 저장․가공 등 기업 경영비용

○ 지원 조건
 - 농식품시설현대화, 외식업체 육성, 식품가공원료매입 , 농공상융합형중소기업육성, 식품원료계열화 : 고정금리 2.0∼3.0% 및 변동금리
 - 지원기준 : 총 사업 소요액의 80% 이내 융자, 자부담 20% 이상
 - 대출기간
  · 농식품시설현대화 : 시설자금 10년(3년 거치 7년 상환), 운영자금(2년 이내)
  · 외식업체 육성 : 시설자금 5년(2년 거치 3년 상환), 운영자금(1년 이내)
  · 식품가공원료 매입 : 운영자금(1년 이내)
  · 농공상융합형중소기업육성 : 시설자금 10년(3년 거치 7년 상환), 운영자금(2년 이내)
  · 식품원료계열화 : 운영자금(1년 이내)","○ 신청업체의 재무 및 영업실적, 사업타당성 등을 적격 심사하여 평점 50점 이상인 업체를 사업 대상자로 선정

○ 소규모 식품 제조가공창업 지원 농업인은 신청자격(경력 포함), 사업 계획서, 제출서류 구비 여부 등을 종합적으로 검토하여 선정 등",농림축산식품부,중앙행정기관,푸드테크정책과,법인/시설/단체,"전년 12월~1월에 사업 공고하여 매년 상반기 신청(1회) 및 정기배정, 수시(포기자금, 추가자금 등)배정 ",방문신청,한국농수산식품유통공사,한국농수산식품유통공사/061-931-1141,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/154300000004,2561,농업
154300000005,기술창업자금 지원,고용·창업,농업법인 및 중소기업을 대상으로 우수기술 사업화에 필요한 자금을 저리 융자 지원,○ 우수기술 사업화에 필요한 소요자금 규모를 평가하여 저리 융자로 자금 지원,○ 예산 소진 시까지 신청 후 평가 추진,농림축산식품부,중앙행정기관,스마트농업정책과,법인/시설/단체,예산 소진시 조기 마감,기타 온라인신청,,한국농업기술진흥원 기술평가팀/063-919-1478,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/154300000005,6399,농업
154300000011,귀농 농업창업 및 주택구입지원 사업,농림축산어업,만18세 이상 65세이하 귀농인에게 농업창업자금 및 주택구매자금 지원,"○ 귀농 초기 부족한 자금을 융자 지원하여 귀농인의 안정적 정착 지원(이차보전사업)
 - 신용, 담보 등 대출심사 필요

○ 융자 
 - 농업 창업 자금 : 3억 원(한도), 2.0%, 
 - 주택 구매(신축) 자금 : 7.5천만 원(한도), 2.0%","○ 지원요건(이주기한, 거주기간, 교육이수실적 등)을 갖추고 지원제외대상에 해당하지 않는 자로서 선정심사위원회 심사를 거쳐 사업대상자로 선정된 자
○ 상세 지원요건 및 지원제외요건은 귀농 농업창업 및 주택구입 자금지원 시행지침 참고 필요",농림축산식품부,중앙행정기관,청년농육성정책팀,개인,"○ (상반기) 1월 1일 ~ 2월 10일, (하반기) 6월 1일 ~ 7월 10일 원칙",방문신청,지자체 농업기술센터 등  시·군 단위 귀농·귀촌 업무 담당 부서,귀농귀촌종합센터/1899-9097,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/154300000011,22188,"귀농,농업"
154300000012,피해보전직불,농림축산어업,해당연도 피해보전직불 대상품목을 재배·사육하는 농업인에게 보전직불금 지원 (현행 95%),"FTA 협정 이행으로 인한 수입 증가로 가격 하락의 피해가 발생할 경우, 발생된 피해 분의 일정 부분(현행 95%)을 피해보전직불금으로 지원","○ 농업인등에 해당하는 자로, 「농어업경영체 육성 및 지원에 관한 법률」 제4조제1항에 근거하여 농업경영체로 등록한 자
○ 피해보전직접지불금 지원대상 품목을 해당 협정의 발효일 이전부터 생산한 자
○ 2024년도에 자기의 비용과 책임으로 지원대상 품목을 직접 생산·판매하여 가격하락의 피해가 실제로 귀속된 자",농림축산식품부,중앙행정기관,농업정책과,개인,2025. 7.,방문신청,시·군·구청,FTA 이행에 따른 농업인등 지원센터/1899-4114,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/154300000012,2582,농업
154300000014,유기농업자재 지원,농림축산어업,"친환경농업인 등에게 유기농업자재, 녹비작물 종자 등 구입비용 일부 지원","○ 녹비 종자(5종) : 헤어리베치, 녹비(청)보리, 호밀, 자운영, 수단그라스(조중생종, 만생종)
 - 다만, 수단그라스(조중생종, 만생종)는 인삼 재배농가에 한해 지원

○ 유기농업자재 : 친환경농어업법에서 정한 기준에 따른 공시 자재

○ 자재 원료 : 「친환경농어업 육성 및 유기식품 등의 관리․지원에 관한 법률」 시행규칙 제3조 제1항 [별표 1]의 제1호 가목에 따른 사용가능한 허용물질

○ 천적(25종)

○ 토양검정(일반농가), 시비처방 등 컨설팅(친환경인증 및 일반농가)","가. 녹비작물 종자
 ○ 「농어업경영체 육성 및 지원에 관한 법률」제4조에 따라 농업경영정보를 등록한 농업경영체로서 녹비작물 재배를 희망하는 농업인 및 농업법인
  - 다만, 「보조금 관리에 관한 법률」 및 「농림축산식품분야 재정사업관리 기본규정」제28조제8항 및 제63조에 의거 보조금의 부당사용사유 등으로 지원제한 기간에 포함되는 농업경영체는 사업대상에서 제외됨
○ 선정 우선순위: 유기인증 농지 〉무농약인증 농지 〉일반 농지(지자체 자율 결정)

나. 유기농업자재 및 자재원료
 ○ 「농어업경영체 육성 및 지원에 관한 법률」제4조에 따라 농업경영정보를 등록한 농업경영체로서, 「친환경농어업육성 및 유기식품 등의 관리․지원에 관한 법률」에 따라 유기․무농약 농산물 인증을 받은 농업인 및 농업법인
  - 다만, 「보조금 관리에 관한 법률」 및 「농림축산식품분야 재정사업관리 기본규정」제28조제8항 및 제63조에 의거 보조금의 부당사용사유 등으로 지원제한 기간에 포함되는 농업경영체는 사업대상에서 제외됨
○ 선정 우선순위
   - (친환경농어업법에 따른 친환경인증 농지) 유기인증 농지 〉무농약인증 농지
   - (그 외 농지) ’24년 친환경농업기반구축 사업에 포함된 일반농지 〉’13~’23년 친환경농업기반구축 사업에 포함되었던 일반농지 > 지자체 자율 결정

○ 중복수혜불가 조건
 - 유기농업자재 및 자재원료
  * '유기질비료지원사업' 신청농지는 '토양개량 및 작물생육' 목적의 자재원료와 유기농업자재로 공시된 유기질비료.부숙유기질비료는 지원 대상에서 제외
  * '토양개량제지원사업' 신청농지는 '토양개량' 목적의 자재원료와 유기농업자재로 공시된 토양개량제(석회질비료, 규산질비료)는 지원 대상에서 제외",농림축산식품부,중앙행정기관,친환경농업과,개인,매년 11월 ~ 12월 신청,방문신청,주민센터,해당지역 주민센터/해당지역 주민센터,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/154300000014,5849,"농업,농가,농지"
