스크린샷,구분,순위,비료명,질소(N),인산(P),칼리(K)
감자(남부해안),밑거름,1,인산칼리맞춤1호,20,18,15
감자(남부해안),밑거름,2,야라밀라,12,11,18
감자(남부해안),밑거름,3,야라밀라,12,11,18
감자(남부해안),웃거름,1,슈퍼NK24,24,0,13
감자(남부해안),웃거름,2,바짝엔케이22(질산태),22,0,12
감자(남부해안),웃거름,3,맞춤추비27호,20,0,9
오이(노지재배),밑거름,1,슈퍼솔 밸런스,19,19,19
오이(노지재배),밑거름,2,폴리피드,19,19,19
오이(노지재배),밑거름,3,S-Feed,9,11,37
오이(노지재배),웃거름,1,으뜸드론NK,25,0,15
오이(노지재배),웃거름,2,엔피코 명품NK,18,0,10
오이(노지재배),웃거름,3,맞춤추비28호,17,0,10
오이(시설재배),밑거름,1,슈퍼솔 밸런스,19,19,19
오이(시설재배),밑거름,2,폴리피드,19,19,19
오이(시설재배),밑거름,3,S-Feed,9,11,37
오이(시설재배),웃거름,1,땅심파워NK,30,0,11
오이(시설재배),웃거름,2,엔케이도BS,28,0,12
오이(시설재배),웃거름,3,원샷NK,25,0,10
감자(준고냉지및고냉지),밑거름,1,유기농특호,45,7,5
감자(준고냉지및고냉지),밑거름,2,올원30(완효성함유),30,7,7
감자(준고냉지및고냉지),밑거름,3,미생물올코팅,28,5,7
감자(준고냉지및고냉지),웃거름,1,엔케이도BS,28,0,12
감자(준고냉지및고냉지),웃거름,2,원샷NK,25,0,10
감자(준고냉지및고냉지),웃거름,3,맞춤추비27호,20,0,9
상추(시설재배),밑거름,1,인산칼리맞춤1호,20,18,15
상추(시설재배),밑거름,2,야라밀라,12,11,18
상추(시설재배),밑거름,3,으뜸왕감자,10,8,9
상추(시설재배),웃거름,1,엔케이도BS,28,0,12
상추(시설재배),웃거름,2,원샷NK,25,0,10
상추(시설재배),웃거름,3,맞춤추비27호,20,0,9
배(비옥지),밑거름,1,땅심골드(원예),12,8,9
배(비옥지),밑거름,2,미래로뿌리왕,11,8,9
배(비옥지),밑거름,3,슈퍼50,6,4,4
배(비옥지),웃거름,1,시설관주특호,17,0,14
배(비옥지),웃거름,2,맞춤추비30호,17,0,14
배(비옥지),웃거름,3,맞춤추비29호,13,0,10
배(척박지),밑거름,1,땅심골드(원예),12,8,9
배(척박지),밑거름,2,미래로뿌리왕,11,8,9
배(척박지),밑거름,3,슈퍼50,6,4,4
배(척박지),웃거름,1,빠른N,13,0,13
배(척박지),웃거름,2,원샷추비특호,13,0,13
배(척박지),웃거름,3,원예웃거름특호,13,0,13
사과(비옥지),밑거름,1,엔피코21,21,17,17
사과(비옥지),밑거름,2,맞춤24호,13,10,8
사과(비옥지),밑거름,3,"한아름특호(사과,배,복숭아)",12,10,9
사과(비옥지),웃거름,1,반포로NK,29,0,15
사과(비옥지),웃거름,2,바짝엔케이22(질산태),22,0,12
사과(비옥지),웃거름,3,맞춤추비27호,20,0,9
사과(척박지),밑거름,1,엔피코21,21,17,17
사과(척박지),밑거름,2,맞춤24호,13,10,8
사과(척박지),밑거름,3,"한아름특호(사과,배,복숭아)",12,10,9
사과(척박지),웃거름,1,반포로NK,29,0,15
사과(척박지),웃거름,2,바짝엔케이22(질산태),22,0,12
사과(척박지),웃거름,3,맞춤추비27호,20,0,9
상추(노지재배),밑거름,1,"파워성장엔(질산태,유황함유)",13,8,8
상추(노지재배),밑거름,2,슈퍼고추,12,7,6
상추(노지재배),밑거름,3,원예전용,10,6,7
상추(노지재배),웃거름,1,으뜸드론NK,25,0,15
상추(노지재배),웃거름,2,엔피코 명품NK,18,0,10
상추(노지재배),웃거름,3,맞춤추비28호,17,0,10
