station,year,crop,data_start,data_end,n_hourly_records,risk,reason,frost_triggered,frost_event_count,frost_worst_datetime,frost_worst_stage,frost_worst_temp,frost_worst_threshold,frost_worst_margin,near_miss_datetime,near_miss_stage,near_miss_margin,heat_triggered,heat_threshold_c,heat_required_days,heat_qualifying_periods,heat_max_consecutive_days
거창,2020,사과,2020-01-01,2020-12-31 23:00:00,8783,높음,일소 공식기준 충족 (2일 이상 33.0℃ 이상),False,0,,,,,,2020-04-14 06:00:00,분홍초기,-1.5,True,33.0,2,1,6.0
거창,2021,사과,2021-01-01,2021-12-31 23:00:00,8748,높음,일소 공식기준 충족 (2일 이상 33.0℃ 이상),False,0,,,,,,2021-04-15 05:00:00,완전분홍기,-1.8,True,33.0,2,2,4.0
거창,2022,사과,2022-01-01,2022-12-31 23:00:00,8757,높음,일소 공식기준 충족 (2일 이상 33.0℃ 이상),False,0,,,,,,2022-04-17 06:00:00,완전분홍기,-3.9,True,33.0,2,4,2.0
거창,2023,사과,2023-01-01,2023-12-31 23:00:00,8751,높음,일소 공식기준 충족 (2일 이상 33.0℃ 이상),False,0,,,,,,2023-04-09 06:00:00,분홍초기,-1.8,True,33.0,2,2,3.0
거창,2024,사과,2024-01-01,2024-12-31 23:00:00,8777,높음,일소 공식기준 충족 (2일 이상 33.0℃ 이상),False,0,,,,,,2024-03-21 07:00:00,은색선단기,-3.6,True,33.0,2,4,8.0
거창,2025,사과,2025-01-01,2025-12-31 23:00:00,8676,높음,일소 공식기준 충족 (2일 이상 33.0℃ 이상),False,0,,,,,,2025-03-31 04:00:00,녹색기,-1.3,True,33.0,2,7,13.0
거창,2026,사과,2026-01-01,2026-07-23 00:00:00,4873,낮음,위험 기준 미충족,False,0,,,,,,2026-04-08 06:00:00,단단한화총기,-0.3,False,33.0,2,0,1.0
광주,2020,배,2020-01-01,2020-12-31 23:00:00,8784,높음,일소 공식기준 충족 (2일 이상 33.0℃ 이상),False,0,,,,,,2020-03-16 07:00:00,꽃봉오리_연분홍,-3.1,True,33.0,2,1,5.0
광주,2021,배,2021-01-01,2021-12-31 23:00:00,8756,높음,일소 공식기준 충족 (2일 이상 33.0℃ 이상),False,0,,,,,,2021-03-17 07:00:00,꽃봉오리_연분홍,-5.4,True,33.0,2,2,5.0
광주,2022,배,2022-01-01,2022-12-31 23:00:00,8760,높음,일소 공식기준 충족 (2일 이상 33.0℃ 이상),False,0,,,,,,2022-04-03 06:00:00,개화직전,-4.4,True,33.0,2,2,2.0
광주,2023,배,2023-01-01,2023-12-31 23:00:00,8759,높음,일소 공식기준 충족 (2일 이상 33.0℃ 이상),False,0,,,,,,2023-04-08 07:00:00,만개_낙화_낙화10일후유과기,-5.0,True,33.0,2,1,9.0
광주,2024,배,2024-01-01,2024-12-31 23:00:00,8784,높음,일소 공식기준 충족 (2일 이상 33.0℃ 이상),False,0,,,,,,2024-03-21 06:00:00,꽃봉오리_연분홍,-3.5,True,33.0,2,5,8.0
광주,2025,배,2025-01-01,2025-12-31 23:00:00,8759,높음,일소 공식기준 충족 (2일 이상 33.0℃ 이상),False,0,,,,,,2025-03-19 05:00:00,꽃봉오리_화총내,-2.6,True,33.0,2,6,11.0
광주,2026,배,2026-01-01,2026-07-23 00:00:00,4873,낮음,위험 기준 미충족,False,0,,,,,,2026-04-08 06:00:00,개화직전,-3.5,False,33.0,2,0,1.0
문경,2020,사과,2020-01-01,2020-12-31 23:00:00,8783,낮음,위험 기준 미충족,False,0,,,,,,2020-04-14 06:00:00,분홍초기,-3.6,False,33.0,2,0,1.0
문경,2021,사과,2021-01-01,2021-12-31 23:00:00,8760,높음,일소 공식기준 충족 (2일 이상 33.0℃ 이상),False,0,,,,,,2021-04-10 06:00:00,단단한화총기,-4.0,True,33.0,2,2,3.0
문경,2022,사과,2022-01-01,2022-12-31 23:00:00,8760,높음,일소 공식기준 충족 (2일 이상 33.0℃ 이상),False,0,,,,,,2022-04-16 06:00:00,완전분홍기,-4.8,True,33.0,2,3,3.0
문경,2023,사과,2023-01-01,2023-12-31 23:00:00,8758,높음,일소 공식기준 충족 (2일 이상 33.0℃ 이상),False,0,,,,,,2023-04-27 06:00:00,만개기,-2.7,True,33.0,2,2,6.0
