station,year,crop,n_hourly_records,total_score,temperature_source,excluded_no_reference,frost_score,heat_score,frost_triggered,heat_real_2day_heatwave,near_miss_datetime,near_miss_stage,near_miss_margin,heat_margin,heat_day1,heat_day2,heat_day1_max,heat_day2_max
거창,2020,사과,8783,5.0,hourly_precise,,87.5,5.0,False,True,2020-04-14 06:00:00,분홍초기,-1.5,1.8,2020-08-18,2020-08-19,34.8,35.5
거창,2021,사과,8748,35.0,hourly_precise,,95.0,35.0,False,True,2021-04-15 05:00:00,완전분홍기,-1.8,0.6,2021-08-06,2021-08-07,33.6,34.4
거창,2022,사과,8757,40.0,hourly_precise,,100.0,40.0,False,True,2022-04-17 06:00:00,완전분홍기,-3.9,0.4,2022-08-06,2022-08-07,34.8,33.4
거창,2023,사과,8751,40.0,hourly_precise,,95.0,40.0,False,True,2023-04-09 06:00:00,분홍초기,-1.8,0.4,2023-08-02,2023-08-03,33.5,33.4
거창,2024,사과,8777,12.5,hourly_precise,,100.0,12.5,False,True,2024-03-21 07:00:00,은색선단기,-3.6,1.5,2024-08-02,2024-08-03,34.7,34.5
거창,2025,사과,8676,0.0,hourly_precise,,82.5,0.0,False,True,2025-03-31 04:00:00,녹색기,-1.3,2.6,2025-08-23,2025-08-24,35.7,35.6
거창,2026,사과,4873,57.5,hourly_precise,,57.5,60.0,False,False,2026-04-08 06:00:00,단단한화총기,-0.3,-0.4,2026-07-11,2026-07-12,34.4,32.6
광주,2020,배,8784,35.0,hourly_precise,,100.0,35.0,False,True,2020-03-16 07:00:00,꽃봉오리_연분홍,-3.1,0.6,2020-08-18,2020-08-19,33.6,33.9
광주,2021,배,8756,35.0,hourly_precise,,100.0,35.0,False,True,2021-03-17 07:00:00,꽃봉오리_연분홍,-5.4,0.6,2021-07-27,2021-07-28,33.6,33.6
광주,2022,배,8760,40.0,hourly_precise,,100.0,40.0,False,True,2022-04-03 06:00:00,개화직전,-4.4,0.4,2022-08-06,2022-08-07,33.4,33.6
광주,2023,배,8759,0.0,hourly_precise,,100.0,0.0,False,True,2023-04-08 07:00:00,만개_낙화_낙화10일후유과기,-5.0,2.1,2023-08-05,2023-08-06,35.1,35.2
광주,2024,배,8784,10.0,hourly_precise,,100.0,10.0,False,True,2024-03-21 06:00:00,꽃봉오리_연분홍,-3.5,1.6,2024-08-03,2024-08-04,34.6,35.3
광주,2025,배,8759,0.0,hourly_precise,,100.0,0.0,False,True,2025-03-19 05:00:00,꽃봉오리_화총내,-2.6,2.3,2025-07-08,2025-07-09,35.3,35.8
광주,2026,배,4873,52.5,hourly_precise,,100.0,52.5,False,False,2026-04-08 06:00:00,개화직전,-3.5,-0.1,2026-06-27,2026-06-28,33.1,32.9
문경,2020,사과,8783,55.0,hourly_precise,,100.0,55.0,False,False,2020-04-14 06:00:00,분홍초기,-3.6,-0.2,2020-06-09,2020-06-10,33.8,32.8
문경,2021,사과,8760,37.5,hourly_precise,,100.0,37.5,False,True,2021-04-10 06:00:00,단단한화총기,-4.0,0.5,2021-07-31,2021-08-01,33.5,34.1
문경,2022,사과,8760,15.0,hourly_precise,,100.0,15.0,False,True,2022-04-16 06:00:00,완전분홍기,-4.8,1.4,2022-06-21,2022-06-22,34.6,34.4
문경,2023,사과,8758,15.0,hourly_precise,,100.0,15.0,False,True,2023-04-27 06:00:00,만개기,-2.7,1.4,2023-08-05,2023-08-06,34.4,34.9
문경,2024,사과,8669,27.5,hourly_precise,,100.0,27.5,False,True,2024-03-21 06:00:00,은색선단기,-6.5,0.9,2024-08-02,2024-08-03,34.0,33.9
문경,2025,사과,8760,15.0,hourly_precise,,100.0,15.0,False,True,2025-04-14 06:00:00,분홍초기,-2.2,1.4,2025-08-01,2025-08-02,34.7,34.4
문경,2026,사과,4873,57.5,hourly_precise,,100.0,57.5,False,False,2026-04-08 06:00:00,단단한화총기,-3.3,-0.3,2026-07-11,2026-07-12,32.7,33.3
안동,2020,사과,8784,32.5,hourly_precise,,97.5,32.5,False,True,2020-04-09 06:00:00,단단한화총기,-1.9,0.7,2020-06-09,2020-06-10,34.9,33.7
안동,2021,사과,8760,12.5,hourly_precise,,100.0,12.5,False,True,2021-04-10 06:00:00,단단한화총기,-4.0,1.5,2021-08-06,2021-08-07,35.4,34.5
안동,2022,사과,8760,0.0,hourly_precise,,100.0,0.0,False,True,2022-04-16 06:00:00,완전분홍기,-4.7,2.4,2022-07-02,2022-07-03,35.7,35.4
안동,2023,사과,8760,15.0,hourly_precise,,100.0,15.0,False,True,2023-04-27 05:00:00,만개기,-2.8,1.4,2023-08-05,2023-08-06,35.1,34.4
안동,2024,사과,8780,0.0,hourly_precise,,100.0,0.0,False,True,2024-04-10 04:00:00,단단한화총기,-6.8,2.3,2024-08-02,2024-08-03,35.7,35.3
안동,2025,사과,8760,0.0,hourly_precise,,100.0,0.0,False,True,2025-04-14 04:00:00,분홍초기,-2.5,2.5,2025-07-27,2025-07-28,35.5,35.5
안동,2026,사과,4872,12.5,hourly_precise,,87.5,12.5,False,True,2026-04-08 06:00:00,단단한화총기,-1.5,1.5,2026-07-12,2026-07-13,34.9,34.5
영주,2020,사과,8776,50.0,hourly_precise,,50.0,62.5,True,False,2020-04-06 05:00:00,단단한화총기,0.0,-0.5,2020-06-09,2020-06-10,33.1,32.5
영주,2021,사과,8754,42.5,hourly_precise,,100.0,42.5,False,True,2021-04-05 06:00:00,단단한화총기,-2.5,0.3,2021-07-27,2021-07-28,33.4,33.3
영주,2022,사과,8754,25.0,hourly_precise,,100.0,25.0,False,True,2022-04-16 06:00:00,분홍초기,-4.3,1.0,2022-06-21,2022-06-22,34.5,34.0
영주,2023,사과,8759,15.0,hourly_precise,,100.0,15.0,False,True,2023-04-13 05:00:00,개화초기,-2.6,1.4,2023-08-05,2023-08-06,34.5,34.4
영주,2024,사과,8781,32.5,hourly_precise,,100.0,32.5,False,True,2024-04-10 03:00:00,분홍초기,-5.1,0.7,2024-08-03,2024-08-04,33.7,34.8
영주,2025,사과,8760,5.0,hourly_precise,,100.0,5.0,False,True,2025-04-14 06:00:00,분홍초기,-2.9,1.8,2025-08-01,2025-08-02,34.9,34.8
영주,2026,사과,4869,82.5,hourly_precise,,100.0,82.5,False,False,2026-04-08 06:00:00,단단한화총기,-2.7,-1.3,2026-07-12,2026-07-13,31.9,31.7
천안,2020,배,8783,37.5,hourly_precise,,37.5,80.0,True,False,2020-04-06 06:00:00,개화직전,0.5,-1.2,2020-08-19,2020-08-20,31.8,31.9
천안,2021,배,8745,22.5,hourly_precise,,80.0,22.5,False,True,2021-03-23 05:00:00,꽃봉오리_연분홍,-1.2,1.1,2021-07-27,2021-07-28,34.1,34.2
천안,2022,배,8757,52.5,hourly_precise,,62.5,52.5,False,False,2022-03-28 06:00:00,꽃봉오리_연분홍,-0.5,-0.1,2022-07-02,2022-07-03,32.9,33.1
천안,2023,배,8758,17.5,hourly_precise,,62.5,17.5,False,True,2023-04-08 06:00:00,만개_낙화_낙화10일후유과기,-0.5,1.3,2023-08-06,2023-08-07,34.3,34.4
