farm_code,farm_name,flblms_datetm,year,species_code
0001,군위,2020-04-25,2020,apple01
018,완주,2020-04-29,2020,apple01
0001,군위,2021-04-20,2021,apple01
0002,청송,2021-04-26,2021,apple01
0003,영주,2021-04-19,2021,apple01
0004,장수,2021-04-26,2021,apple01
0005,거창,2021-04-20,2021,apple01
0006,충주,2021-04-21,2021,apple01
018,완주,2021-04-21,2021,apple01
0001,군위,2022-04-22,2022,apple01
0002,청송,2022-04-26,2022,apple01
0003,영주,2022-04-23,2022,apple01
0005,거창,2022-04-21,2022,apple01
0006,충주,2022-04-23,2022,apple01
018,완주,2022-04-23,2022,apple01
0001,군위,2023-04-17,2023,apple01
0002,청송,2023-04-23,2023,apple01
0003,영주,2023-04-16,2023,apple01
0005,거창,2023-04-17,2023,apple01
0006,충주,2023-04-17,2023,apple01
0007,포천,2023-04-25,2023,apple01
0008,화성,2023-04-21,2023,apple01
0001,군위,2024-04-21,2024,apple01
0002,청송,2024-04-26,2024,apple01
0003,영주,2024-04-20,2024,apple01
0005,거창,2024-04-26,2024,apple01
0006,충주,2024-04-19,2024,apple01
0007,포천,2024-04-24,2024,apple01
0008,화성,2024-04-23,2024,apple01
018,완주,2024-04-18,2024,apple01
0001,군위,2025-04-21,2025,apple01
0002,청송,2025-04-26,2025,apple01
0003,영주,2025-04-21,2025,apple01
0005,거창,2025-04-21,2025,apple01
0006,충주,2025-04-21,2025,apple01
0008,화성,2025-04-24,2025,apple01
018,완주,2025-04-20,2025,apple01
0001,군위,2026-04-19,2026,apple01
0002,청송,2026-04-26,2026,apple01
0003,영주,2026-04-19,2026,apple01
0005,거창,2026-04-20,2026,apple01
0006,충주,2026-04-19,2026,apple01
0007,포천,2026-04-26,2026,apple01
0008,화성,2026-04-25,2026,apple01
018,완주,2026-04-19,2026,apple01
