station_id,station_name,lat,lon,avg_temp,jan_min_temp,summer_avg_temp,annual_precip,sunshine_hours,humidity,max_temp,min_temp,sunshine_estimated,humidity_estimated
90,속초,38.2509,128.5647,12.5,-3.8,23.8,1407.2,2166.4,65.0,16.6,8.7,False,False
95,철원,38.1479,127.3042,10.3,-11.8,23.9,1354.4,2183.5,69.9,16.4,4.7,False,False
98,동두천,37.9019,127.0607,11.5,-9.0,24.6,1417.1,2221.8,65.6,17.8,6.3,False,False
99,파주,37.8859,126.7665,11.0,-10.6,24.5,1295.8,2288.3,71.6,17.3,5.6,False,False
100,대관령,37.6771,128.7183,7.1,-12.2,19.6,1695.1,2253.9,73.3,12.2,2.3,False,False
101,춘천,37.9026,127.7357,11.4,-9.3,25.0,1341.5,2139.7,70.5,17.4,6.3,False,False
102,백령도,37.974,124.7124,11.3,-3.4,23.0,787.3,2193.6,71.0,14.5,8.7,False,False
105,강릉,37.7515,128.891,13.5,-2.7,24.8,1444.9,2196.6,59.5,17.8,9.6,False,False
106,동해,37.5071,129.1243,12.8,-2.8,23.6,1264.3,2219.2,64.4,17.0,9.0,False,False
112,인천,37.4777,126.6249,12.5,-4.8,25.0,1207.4,2378.3,68.8,16.6,9.1,False,False
114,원주,37.3375,127.9466,12.0,-8.0,25.2,1299.0,2063.2,66.6,17.8,6.9,False,False
115,울릉도독도(감),37.48,130.9,12.7,-0.5,23.2,1480.6,1961.4,72.9,16.0,10.1,False,False
121,영월,37.1813,128.4574,11.2,-9.2,24.1,1205.1,2142.8,68.1,17.7,5.6,False,False
127,충주,36.9705,127.9525,11.7,-8.3,25.0,1214.3,2138.7,67.3,17.9,6.3,False,False
129,서산,36.7766,126.4939,12.1,-6.2,24.9,1253.9,2224.8,73.8,17.5,7.3,False,False
130,울진,36.9918,129.4128,12.8,-2.9,23.5,1181.7,2350.9,67.2,17.5,8.7,False,False
131,청주,36.6392,127.4407,13.1,-5.8,26.0,1232.4,2232.0,64.0,18.4,8.4,False,False
133,대전,36.372,127.3721,13.1,-5.5,25.8,1351.2,2253.7,67.9,18.5,8.4,False,False
135,추풍령,36.2202,127.9946,11.8,-6.1,24.0,1195.3,2206.0,66.3,17.5,6.7,False,False
136,안동,36.5729,128.7073,12.2,-7.2,25.0,1045.7,2292.6,66.2,18.4,6.8,False,False
137,상주,36.4084,128.1574,12.8,-5.2,25.1,1178.6,2205.3,64.8,18.6,7.8,False,False
138,포항,36.032,129.38,14.6,-1.5,25.7,1192.4,2303.5,62.9,18.9,10.9,False,False
140,군산,36.0053,126.7614,13.0,-3.8,25.5,1246.0,2217.5,75.3,17.6,9.2,False,False
143,대구,35.878,128.653,14.5,-2.9,26.5,1080.8,2275.9,59.1,19.8,10.0,False,False
146,전주,35.8409,127.1172,13.7,-4.3,26.4,1299.3,2059.0,68.0,19.2,8.9,False,False
152,울산,35.5824,129.3347,14.4,-1.8,25.6,1292.6,2249.5,63.5,19.4,10.2,False,False
155,창원,35.1702,128.5728,14.8,-1.2,25.9,1534.1,2250.2,62.6,19.4,11.0,False,False
156,광주,35.1729,126.8916,14.1,-2.7,26.2,1380.6,2164.1,68.1,19.4,9.8,False,False
159,부산,35.1047,129.032,15.0,-0.1,25.2,1576.7,2374.4,63.3,19.2,11.7,False,False
162,통영,34.8454,128.4356,14.6,-0.8,25.2,1535.8,2305.8,67.9,19.0,11.0,False,False
165,목포,34.8173,126.3815,14.0,-1.3,25.7,1167.7,2180.8,73.9,18.4,10.5,False,False
168,여수,34.7393,127.7406,14.6,-0.3,25.2,1449.1,2361.2,65.3,18.2,11.7,False,False
169,흑산도,34.6872,125.451,13.5,1.5,23.8,1127.3,1959.0,78.6,16.5,11.2,False,False
170,완도,34.3959,126.7018,14.3,-0.4,25.4,1531.5,2092.4,71.6,18.6,10.7,False,False
172,고창,35.3482,126.599,13.2,-4.4,26.0,1225.5,2156.4,79.0,18.6,8.6,False,False
174,순천,35.0204,127.3694,14.8,-1.3,26.0,1467.4,2200.9,68.5,19.7,10.7,True,True
184,제주,33.5141,126.5297,16.2,3.7,26.7,1502.3,1834.5,68.8,19.3,13.4,False,False
185,고산,33.2938,126.1628,15.7,3.8,25.6,1182.9,2002.7,75.0,18.6,13.2,False,False
188,성산,33.3868,126.8802,15.6,2.1,25.8,2030.0,2006.9,72.5,19.2,12.1,False,False
189,서귀포,33.2462,126.5653,16.9,4.1,26.4,1989.6,2074.6,69.8,20.3,13.9,False,False
192,진주,35.1638,128.04,13.4,-5.5,25.6,1518.0,2292.5,67.5,19.8,7.8,False,False
201,강화,37.7074,126.4463,11.3,-8.1,24.2,1266.2,2349.0,69.2,16.3,6.6,False,False
202,양평,37.4886,127.4945,11.7,-8.6,25.0,1383.6,2215.9,69.5,17.8,6.5,False,False
203,이천,37.264,127.4842,11.7,-8.5,24.8,1315.9,2196.2,66.3,17.9,6.3,False,False
211,인제,38.0599,128.1681,10.4,-10.4,23.4,1204.6,2038.5,68.2,16.7,5.0,False,False
212,홍천,37.6836,127.8804,10.8,-10.5,24.6,1338.9,2134.0,67.0,17.7,5.3,False,False
216,태백,37.1704,128.9893,9.0,-9.6,21.4,1308.0,2129.7,66.1,14.6,4.0,False,False
217,정선군,37.3807,128.6731,10.7,-9.1,23.8,1126.6,1895.3,66.5,17.1,5.7,False,False
221,제천,37.1593,128.1943,10.3,-10.8,23.6,1359.3,2208.0,68.8,17.0,4.4,False,False
226,보은,36.4876,127.7342,11.2,-8.4,24.2,1305.3,2257.1,68.7,17.7,5.5,False,False
232,천안,36.7624,127.2927,12.0,-7.5,25.0,1218.7,2271.3,68.5,17.9,6.7,False,False
235,보령,36.3272,126.5574,12.7,-4.4,25.2,1191.4,2311.0,72.6,17.6,8.4,False,False
236,부여,36.2724,126.9208,12.4,-6.6,25.5,1326.6,2243.0,71.4,18.8,7.1,False,False
238,금산,36.1056,127.4818,11.8,-7.9,24.8,1288.6,2214.8,69.1,18.5,6.1,False,False
239,세종,36.4852,127.2444,11.8,-7.8,24.8,1204.9,2200.9,68.5,18.4,6.6,True,True
243,부안,35.7296,126.7166,12.9,-4.5,25.6,1238.0,2259.6,73.6,18.3,8.4,False,False
244,임실,35.612,127.2856,11.3,-8.0,24.2,1335.6,2142.6,72.3,18.1,5.6,False,False
245,정읍,35.5634,126.839,13.3,-4.4,25.9,1329.8,2088.0,70.5,18.9,8.5,False,False
247,남원,35.4213,127.3965,12.5,-6.6,25.3,1353.2,2229.5,70.7,19.1,6.8,False,False
248,장수,35.657,127.5203,10.7,-8.6,23.4,1486.0,2071.5,73.7,17.1,5.1,False,False
252,영광군,35.2837,126.4778,13.1,-4.7,26.0,1277.8,2252.9,73.7,18.3,8.5,False,False
253,김해시,35.2298,128.8908,15.1,-2.2,26.6,1375.8,2434.1,62.0,20.3,10.9,False,False
254,순창군,35.3713,127.1286,12.8,-6.6,25.7,1473.3,2262.7,71.0,18.9,7.5,False,False
257,양산시,35.3074,129.0201,14.9,-2.4,26.8,1483.3,2276.4,62.8,20.3,10.3,False,False
258,보성군,34.7634,127.2123,12.5,-5.1,24.6,1542.2,2200.9,68.5,18.5,7.4,True,True
259,강진군,34.6446,126.7841,13.8,-3.2,25.8,1442.1,2232.7,71.8,19.1,9.1,False,False
260,장흥,34.6889,126.9195,13.3,-3.9,25.2,1471.8,2136.7,71.9,19.2,8.1,False,False
261,해남,34.5538,126.5691,13.5,-3.3,25.4,1282.0,2230.9,73.1,19.0,8.4,False,False
262,고흥,34.6183,127.2757,13.7,-3.3,25.2,1449.3,2195.9,68.6,19.2,8.6,False,False
263,의령군,35.3226,128.2881,13.2,-6.4,25.5,1355.0,2223.1,72.4,20.0,7.5,False,False
264,함양군,35.5114,127.7454,12.8,-5.7,25.3,1325.1,2175.4,73.1,19.5,7.1,False,False
266,광양시,34.9434,127.6914,14.4,-2.7,26.0,1424.3,2200.9,68.5,20.3,9.6,True,True
268,진도군,34.473,126.2585,13.9,-1.8,25.7,1374.7,2200.9,68.5,18.6,9.6,True,True
271,봉화,36.9436,128.9145,10.0,-10.6,22.8,1175.6,2197.8,69.5,17.2,3.7,False,False
272,영주,36.8718,128.5169,11.7,-7.3,24.1,1334.0,2279.9,64.9,17.6,6.2,False,False
273,문경,36.6273,128.1488,11.9,-6.3,24.0,1294.9,2221.0,64.6,17.8,6.6,False,False
276,청송군,36.4351,129.0401,11.2,-8.8,24.2,967.2,2129.2,69.7,18.2,5.4,False,False
277,영덕,36.5334,129.4093,13.1,-3.1,24.3,1112.2,2382.4,64.9,18.3,8.5,False,False
278,의성,36.3561,128.6886,11.6,-9.6,25.0,1011.2,2174.3,67.9,19.2,5.1,False,False
279,구미,36.1306,128.3206,13.1,-5.4,25.5,1113.1,2204.1,65.1,19.2,7.8,False,False
281,영천,35.9774,128.9514,12.8,-5.9,25.2,1085.9,2213.4,64.3,19.2,7.1,False,False
283,경주시,35.8175,129.2012,13.4,-4.7,25.6,1121.2,2261.7,66.9,19.6,8.0,False,False
284,거창,35.6674,127.9099,12.0,-7.3,24.4,1294.7,2288.6,68.3,18.9,6.0,False,False
285,합천,35.5651,128.1699,13.2,-5.9,25.5,1289.9,2189.7,65.1,20.1,7.5,False,False
288,밀양,35.4915,128.7441,13.6,-5.4,25.8,1226.6,2236.9,66.4,20.3,7.9,False,False
289,산청,35.413,127.8791,13.0,-4.4,24.9,1556.2,2199.0,64.9,19.3,7.8,False,False
294,거제,34.8882,128.6046,14.4,-1.4,25.4,1930.3,2216.0,65.2,19.1,10.2,False,False
295,남해,34.8166,127.9264,14.3,-2.0,25.6,1921.2,2328.4,65.4,19.3,10.1,False,False
