재배유형,날짜,요일,추천작업,작업설명,이시기_주의사항
봄재배,2026-01-21,수,씨감자 싹 틔우기,자른 씨감자를 15~20℃·습도 80~90%에서 25~35일간 싹 틔워요.,"시설재배 저온 관리 필요(보온), 씨감자 싹틔움상 적정온도(18~25℃) 유지"
봄재배,2026-01-22,목,씨감자 싹 틔우기,자른 씨감자를 15~20℃·습도 80~90%에서 25~35일간 싹 틔워요.,"시설재배 저온 관리 필요(보온), 씨감자 싹틔움상 적정온도(18~25℃) 유지"
봄재배,2026-01-23,금,씨감자 싹 틔우기,자른 씨감자를 15~20℃·습도 80~90%에서 25~35일간 싹 틔워요.,"시설재배 저온 관리 필요(보온), 씨감자 싹틔움상 적정온도(18~25℃) 유지"
봄재배,2026-01-24,토,씨감자 싹 틔우기,자른 씨감자를 15~20℃·습도 80~90%에서 25~35일간 싹 틔워요.,"시설재배 저온 관리 필요(보온), 씨감자 싹틔움상 적정온도(18~25℃) 유지"
봄재배,2026-01-25,일,씨감자 싹 틔우기,자른 씨감자를 15~20℃·습도 80~90%에서 25~35일간 싹 틔워요.,"시설재배 저온 관리 필요(보온), 씨감자 싹틔움상 적정온도(18~25℃) 유지"
봄재배,2026-01-26,월,씨감자 싹 틔우기,자른 씨감자를 15~20℃·습도 80~90%에서 25~35일간 싹 틔워요.,"시설재배 저온 관리 필요(보온), 씨감자 싹틔움상 적정온도(18~25℃) 유지"
봄재배,2026-01-27,화,씨감자 싹 틔우기,자른 씨감자를 15~20℃·습도 80~90%에서 25~35일간 싹 틔워요.,"시설재배 저온 관리 필요(보온), 씨감자 싹틔움상 적정온도(18~25℃) 유지"
봄재배,2026-01-28,수,씨감자 싹 틔우기,자른 씨감자를 15~20℃·습도 80~90%에서 25~35일간 싹 틔워요.,"시설재배 저온 관리 필요(보온), 씨감자 싹틔움상 적정온도(18~25℃) 유지"
봄재배,2026-01-29,목,씨감자 싹 틔우기,자른 씨감자를 15~20℃·습도 80~90%에서 25~35일간 싹 틔워요.,"시설재배 저온 관리 필요(보온), 씨감자 싹틔움상 적정온도(18~25℃) 유지"
봄재배,2026-01-30,금,씨감자 싹 틔우기,자른 씨감자를 15~20℃·습도 80~90%에서 25~35일간 싹 틔워요.,"시설재배 저온 관리 필요(보온), 씨감자 싹틔움상 적정온도(18~25℃) 유지"
봄재배,2026-01-31,토,씨감자 싹 틔우기,자른 씨감자를 15~20℃·습도 80~90%에서 25~35일간 싹 틔워요.,"시설재배 저온 관리 필요(보온), 씨감자 싹틔움상 적정온도(18~25℃) 유지"
봄재배,2026-02-01,일,씨감자 싹 틔우기,자른 씨감자를 15~20℃·습도 80~90%에서 25~35일간 싹 틔워요.,"시설 내 고온 환기 필요, 노지 봄재배는 저온·서리로 출현·생육 지연 우려"
봄재배,2026-02-02,월,씨감자 싹 틔우기,자른 씨감자를 15~20℃·습도 80~90%에서 25~35일간 싹 틔워요.,"시설 내 고온 환기 필요, 노지 봄재배는 저온·서리로 출현·생육 지연 우려"
봄재배,2026-02-03,화,씨감자 싹 틔우기,자른 씨감자를 15~20℃·습도 80~90%에서 25~35일간 싹 틔워요.,"시설 내 고온 환기 필요, 노지 봄재배는 저온·서리로 출현·생육 지연 우려"
봄재배,2026-02-04,수,씨감자 싹 틔우기,자른 씨감자를 15~20℃·습도 80~90%에서 25~35일간 싹 틔워요.,"시설 내 고온 환기 필요, 노지 봄재배는 저온·서리로 출현·생육 지연 우려"
봄재배,2026-02-05,목,씨감자 싹 틔우기,자른 씨감자를 15~20℃·습도 80~90%에서 25~35일간 싹 틔워요.,"시설 내 고온 환기 필요, 노지 봄재배는 저온·서리로 출현·생육 지연 우려"
봄재배,2026-02-06,금,씨감자 싹 틔우기,자른 씨감자를 15~20℃·습도 80~90%에서 25~35일간 싹 틔워요.,"시설 내 고온 환기 필요, 노지 봄재배는 저온·서리로 출현·생육 지연 우려"
봄재배,2026-02-07,토,씨감자 싹 틔우기,자른 씨감자를 15~20℃·습도 80~90%에서 25~35일간 싹 틔워요.,"시설 내 고온 환기 필요, 노지 봄재배는 저온·서리로 출현·생육 지연 우려"
봄재배,2026-02-08,일,씨감자 싹 틔우기,자른 씨감자를 15~20℃·습도 80~90%에서 25~35일간 싹 틔워요.,"시설 내 고온 환기 필요, 노지 봄재배는 저온·서리로 출현·생육 지연 우려"
봄재배,2026-02-09,월,씨감자 싹 틔우기,자른 씨감자를 15~20℃·습도 80~90%에서 25~35일간 싹 틔워요.,"시설 내 고온 환기 필요, 노지 봄재배는 저온·서리로 출현·생육 지연 우려"
봄재배,2026-02-10,화,씨감자 싹 틔우기,자른 씨감자를 15~20℃·습도 80~90%에서 25~35일간 싹 틔워요.,"시설 내 고온 환기 필요, 노지 봄재배는 저온·서리로 출현·생육 지연 우려"
봄재배,2026-02-11,수,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"시설 내 고온 환기 필요, 노지 봄재배는 저온·서리로 출현·생육 지연 우려"
봄재배,2026-02-12,목,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"시설 내 고온 환기 필요, 노지 봄재배는 저온·서리로 출현·생육 지연 우려"
봄재배,2026-02-13,금,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"시설 내 고온 환기 필요, 노지 봄재배는 저온·서리로 출현·생육 지연 우려"
봄재배,2026-02-14,토,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"시설 내 고온 환기 필요, 노지 봄재배는 저온·서리로 출현·생육 지연 우려"
봄재배,2026-02-15,일,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"시설 내 고온 환기 필요, 노지 봄재배는 저온·서리로 출현·생육 지연 우려"
봄재배,2026-02-16,월,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"시설 내 고온 환기 필요, 노지 봄재배는 저온·서리로 출현·생육 지연 우려"
봄재배,2026-02-17,화,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"시설 내 고온 환기 필요, 노지 봄재배는 저온·서리로 출현·생육 지연 우려"
봄재배,2026-02-18,수,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"시설 내 고온 환기 필요, 노지 봄재배는 저온·서리로 출현·생육 지연 우려"
봄재배,2026-02-19,목,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"시설 내 고온 환기 필요, 노지 봄재배는 저온·서리로 출현·생육 지연 우려"
봄재배,2026-02-20,금,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"시설 내 고온 환기 필요, 노지 봄재배는 저온·서리로 출현·생육 지연 우려"
봄재배,2026-02-21,토,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"시설 내 고온 환기 필요, 노지 봄재배는 저온·서리로 출현·생육 지연 우려"
봄재배,2026-02-22,일,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"시설 내 고온 환기 필요, 노지 봄재배는 저온·서리로 출현·생육 지연 우려"
봄재배,2026-02-23,월,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"시설 내 고온 환기 필요, 노지 봄재배는 저온·서리로 출현·생육 지연 우려"
봄재배,2026-02-24,화,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"시설 내 고온 환기 필요, 노지 봄재배는 저온·서리로 출현·생육 지연 우려"
봄재배,2026-02-25,수,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"시설 내 고온 환기 필요, 노지 봄재배는 저온·서리로 출현·생육 지연 우려"
봄재배,2026-02-26,목,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"시설 내 고온 환기 필요, 노지 봄재배는 저온·서리로 출현·생육 지연 우려"
봄재배,2026-02-27,금,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"시설 내 고온 환기 필요, 노지 봄재배는 저온·서리로 출현·생육 지연 우려"
봄재배,2026-02-28,토,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"시설 내 고온 환기 필요, 노지 봄재배는 저온·서리로 출현·생육 지연 우려"
봄재배,2026-03-01,일,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"늦서리 주의(1~2주 생육 지연·수량 감소 가능), 지역별 늦서리 시기 고려해 파종"
봄재배,2026-03-02,월,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"늦서리 주의(1~2주 생육 지연·수량 감소 가능), 지역별 늦서리 시기 고려해 파종"
