봄여름가을겨울 재배,재배 지역,작업기간,작업시기,추천작업1,추천작업2,추천작업3,추천작업4,추천작업5,항목구분,가이드분류,체크리스트,주기유형,간격일,작업분류,비고
봄재배,전국 평지,파종 39~41일 전,1월 1일~1월 3일,씨감자 선별,,,,,작업,,씨감자 선별,일회성,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,파종 36~38일 전,1월 4일~1월 6일,절단,,,,,작업,,절단,일회성,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,파종 25~35일 전,1월 7일~2월 10일,싹틔우기,,,,,작업,,싹틔우기,일회성,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,파종 20~35일 전,1월 초~2월 초,씨감자 선별,절단,싹틔우기,,,작업메모,,"씨감자를 30~50g 크기로 골라 자르고, 15~20℃·습도 80~90% 환경에서 25~35일간 햇빛을 살짝 쬐어가며 싹을 틔워주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,파종 20~35일 전,1월 초~2월 초,씨감자 선별,,,,,가이드,씨감자 준비,"씨감자는 10a(약 300평)당 160kg을 준비하고, 30g보다 작거나 250g보다 큰 것은 골라내고 30~50g 크기만 써주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,파종 20~35일 전,1월 초~2월 초,절단,,,,,가이드,씨감자 준비,"씨감자를 자를 땐 위에서 아래 방향으로 자르되, 아래쪽 1/5 정도는 자르지 말고 남겨주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,파종 20~35일 전,1월 초~2월 초,싹틔우기,,,,,가이드,씨감자 준비,자른 씨감자는 15~20℃·습도 80~90% 환경에서 25~35일간 햇빛을 살짝 쬐어가며 싹을 틔워주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,파종 20~35일 전,1월 초~2월 초,,,,,,가이드,씨감자 준비,싹 틔운 씨감자를 심으면 20~30일쯤 뒤에 땅 위로 싹이 올라오니 그때까지 기다려주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,파종 20~35일 전,1월 초~2월 초,씨감자 선별,,,,,가이드,씨감자 준비,"품종에 따라 휴면기간이 2개월~5개월로 다르니, 심기 전에 그 품종의 휴면기간을 확인해주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,파종 20~35일 전,1월 초~2월 초,,,,,,가이드,심는거리·파종깊이,한 줄로 심을 때는 70~80cm 간격(이랑 사이)에 20~25cm 간격(포기 사이)으로 심어주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,파종 20~35일 전,1월 초~2월 초,,,,,,가이드,심는거리·파종깊이,두 줄로 심을 때는 90~140cm(이랑 사이) × 30~40cm(줄 사이) × 20~25cm(포기 사이) 간격으로 심어주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,파종 20~35일 전,1월 초~2월 초,,,,,,가이드,심는거리·파종깊이,씨감자는 5~10cm 깊이로 심어주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,파종 20~35일 전,1월 초~2월 초,,,,,,가이드,멀칭,봄재배·겨울재배라면 투명 비닐(PE 필름)로 멀칭해주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,파종 시,2월 11일~2월 26일,밭 준비,,,,,작업,,밭 준비,일회성,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,파종 시,2월 27일~3월 14일,멀칭,,,,,작업,,멀칭,일회성,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,파종 시,3월 15일~3월 31일,파종,,,,,작업,,파종,일회성,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,파종 시,3월 15일~3월 31일,밑거름 시비,,,,,작업,,밑거름 시비,일회성,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,파종 시,2월 중순~3월 하순,밭 준비,멀칭,파종,밑거름 시비,,작업메모,,"이랑을 만들고 투명 비닐로 멀칭한 뒤, 5~10cm 깊이로 심고 밑거름을 함께 넣어주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,파종 시,2월 중순~3월 하순,,,,,,가이드,씨감자 준비,"씨감자는 10a(약 300평)당 160kg을 준비하고, 30g보다 작거나 250g보다 큰 것은 골라내고 30~50g 크기만 써주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,파종 시,2월 중순~3월 하순,,,,,,가이드,씨감자 준비,"씨감자를 자를 땐 위에서 아래 방향으로 자르되, 아래쪽 1/5 정도는 자르지 말고 남겨주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,파종 시,2월 중순~3월 하순,,,,,,가이드,씨감자 준비,자른 씨감자는 15~20℃·습도 80~90% 환경에서 25~35일간 햇빛을 살짝 쬐어가며 싹을 틔워주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,파종 시,2월 중순~3월 하순,,,,,,가이드,씨감자 준비,싹 틔운 씨감자를 심으면 20~30일쯤 뒤에 땅 위로 싹이 올라오니 그때까지 기다려주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
